Size;Type;TimeMs;Iterations
100;Array;0,5565;1328
100;List;11,6791;1328
1100;Array;0,5197;26404
1100;List;0,821;26404
1300;Array;0,4489;31216
1300;List;0,7456;31216
1500;Array;0,7887;37509
1500;List;1,4236;37509
1700;Array;0,723;44208
1700;List;1,4395;44208
1900;Array;0,7462;49386
1900;List;1,1878;49386
2100;Array;1,1449;56693
2100;List;2,6671;56693
2300;Array;0,8884;64372
2300;List;2,2593;64372
2500;Array;1,2686;69973
2500;List;1,6195;69973
2700;Array;1,0928;78253
2700;List;2,0492;78253
2900;Array;1,2329;84053
2900;List;1,9087;84053
300;Array;0,0721;5440
300;List;0,3886;5440
3100;Array;1,1093;89831
3100;List;2,067;89831
3300;Array;1,3035;95644
3300;List;2,7382;95644
3500;Array;1,4805;104918
3500;List;2,6748;104918
3700;Array;1,5282;107221
3700;List;2,8257;107221
3900;Array;2,5319;120814
3900;List;3,7165;120814
4100;Array;2,1046;126997
4100;List;3,157;126997
4300;Array;1,7244;133190
4300;List;3,6022;133190
4500;Array;1,8617;139391
4500;List;3,4145;139391
4700;Array;2,0066;145583
4700;List;3,7479;145583
4900;Array;2,2249;156675
4900;List;9,1329;156675
500;Array;0,1866;10034
500;List;0,2775;10034
5100;Array;2,3079;157960
5100;List;4,6991;157960
5300;Array;2,8105;164149
5300;List;3,5164;164149
5500;Array;2,338;175835
5500;List;5,7083;175835
5700;Array;2,9638;182231
5700;List;6,7984;182231
5900;Array;2,7832;188629
5900;List;7,0954;188629
6100;Array;8,3664;207223
6100;List;25,3756;207223
6300;Array;3,0561;207718
6300;List;5,6381;207718
6500;Array;3,9274;214296
6500;List;5,3442;214296
6700;Array;3,3029;220899
6700;List;7,4235;220899
6900;Array;3,2932;227480
6900;List;5,6087;227480
700;Array;0,2129;15435
700;List;0,3544;15435
7100;Array;11,1901;234080
7100;List;9,6468;234080
7300;Array;4,5574;240671
7300;List;9,694;240671
7500;Array;6,9269;254766
7500;List;10,2334;254766
7700;Array;10,0511;261558
7700;List;12,5358;261558
7900;Array;8,2066;268355
7900;List;28,9937;268355
8100;Array;12,3621;275133
8100;List;8,0506;275133
8300;Array;6,4085;281923
8300;List;12,2434;281923
8500;Array;5,6188;288724
8500;List;8,828;288724
8700;Array;4,5797;295507
8700;List;7,9533;295507
8900;Array;5,0873;302302
8900;List;16,3076;302302
900;Array;0,7444;21615
900;List;0,528;21615
9100;Array;8,814;309099
9100;List;14,3629;309099
9300;Array;7,332;325180
9300;List;11,2719;325180
9500;Array;9,1382;332180
9500;List;25,056;332180
9700;Array;4,8105;339175
9700;List;15,9685;339175
9900;Array;4,9571;346161
9900;List;75,6457;346161
