Size;Type;TimeMs;Iterations
100;Array;7,5918;265720
100;List;12,1064;265720
1000;Array;1048,9147;64570081
1000;List;1283,876;64570081
1100;Array;3289,9286;193710244
1100;List;3203,2138;193710244
1200;Array;3184,1325;193710244
1200;List;3320,3928;193710244
1300;Array;2928,2063;193710244
1300;List;3481,1801;193710244
1400;Array;3291,1499;193710244
1400;List;3969,9358;193710244
1500;Array;3138,085;193710244
1500;List;3451,2863;193710244
200;Array;12,9008;797161
200;List;15,0576;797161
300;Array;36,2377;2391484
300;List;41,6559;2391484
400;Array;110,3411;7174453
400;List;113,1202;7174453
500;Array;394,8335;21523360
500;List;387,9613;21523360
600;Array;295,5822;21523360
600;List;372,2468;21523360
700;Array;331,4875;21523360
700;List;439,0474;21523360
800;Array;1131,6622;64570081
800;List;1154,6675;64570081
900;Array;880,1396;64570081
900;List;1108,2455;64570081
